REFACTORINGS (LABELS),FEATURE REQUEST,SMELLS
"   Rename Class,Rename Method,Move Method,Extract Method,",refactor the compaction selection and config code similarly to 0.89-fb changes Separate JIRA for refactoring changes from HBASE-7055 (and further ones after code review),"Duplicated Code, Long Method, , , "
"   Rename Method,Move Method,Inline Method,",refactor the compaction selection and config code similarly to 0.89-fb changes Separate JIRA for refactoring changes from HBASE-7055 (and further ones after code review),", , , "
"   Rename Method,Move Method,Extract Method,",refactor the compaction selection and config code similarly to 0.89-fb changes Separate JIRA for refactoring changes from HBASE-7055 (and further ones after code review),"Duplicated Code, Long Method, , , "
"   Rename Method,","Add Data Block Encoding and -D opts to Performance Evaluation Add the ability to specify Data Block Encoding and other configuration options.

--blockEncoding=TYPE
-D <property=value>

Example:
hbase org.apache.hadoop.hbase.PerformanceEvaluation -D mapreduce.task.timeout=60000 --blockEncoding=DIFF sequentialWrite 1",", "
"   Move Class,Move Method,Extract Method,Move Attribute,",Prefix Compression - Trie data block encoding; hbase-common and hbase-server changes These are the hbase-common and hbase-server changes for hbase-4676 Prefix Compression - Trie data block encoding.,"Duplicated Code, Long Method, , , , "
"   Push Down Method,Extract Method,","Have HLog files for .META. and -ROOT- edits only Over on HBASE-6774, there is a discussion on separating out the edits for .META. regions from the other regions' edits w.r.t where the edits are written. This jira is to track an implementation of that.","Duplicated Code, Long Method, , , "
"   Push Down Method,Extract Method,","Have HLog files for .META. and -ROOT- edits only Over on HBASE-6774, there is a discussion on separating out the edits for .META. regions from the other regions' edits w.r.t where the edits are written. This jira is to track an implementation of that.","Duplicated Code, Long Method, , , "
"   Pull Up Method,Inline Method,","Have HLog files for .META. and -ROOT- edits only Over on HBASE-6774, there is a discussion on separating out the edits for .META. regions from the other regions' edits w.r.t where the edits are written. This jira is to track an implementation of that.",", , Duplicated Code, "
"   Move Method,Inline Method,","Compaction Tool In HBASE-5616, as part of the compaction code refactor, a CompactionTool was added.

but there are some issues:
* The tool is under test/
* mockito is required, so the ""test"" scope should be removed from the pom.xml, otherwise the tool doesn't start
* The mock, used by the tool, is mocking HRegion.getRegionInfo() but some code (Store) uses HRegion.regionInfo directly HStore.java#L2021, HStore.java#L1389, HStore.java#L1402 and you end up with a NPE in the tool.
* The Mocked Store uses a dummy family and the compacted files doesn't get the same family properties specified (compression, encoding, ...)
* at the end of compaction CompactionTool.java#L155, on by default, the compaction file is removed (note that the compacted one are already removed inside the store.compact()... and you end up with an empty dir, if you compact everything.

I've fixed some stuff and added support to:
* Run the compaction as a MR Job
* Specify a Table (compact each region/family)
* Specify a Region (compact each family)
* Specify a Family (as before)",", , , "
"   Rename Method,",Supporting for HLog appends I thank we should open a ticket to track what needs changed to support appends when the coding is done on HADOOP-1700.,", "
"   Extract Method,Inline Method,","Add verbose logging option to HConnectionManager In the course of HBASE-7250 I found that client-side errors (as well as server-side errors, but that's another question) are hard to debug.
I have some local commits with useful, not-that-hacky HConnectionManager logging added.
Need to ""productionize"" it to be off by default but easy-to-enable for debugging.","Duplicated Code, Long Method, , , "
"   Rename Method,Inline Method,","remove flush-related records from WAL and make locking more granular Comments from many people in HBASE-6466 and HBASE-6980 indicate that flush records in WAL are not useful. If so, they should be removed.",", , "
"   Rename Method,Extract Method,","remove flush-related records from WAL and make locking more granular Comments from many people in HBASE-6466 and HBASE-6980 indicate that flush records in WAL are not useful. If so, they should be removed.","Duplicated Code, Long Method, , "
"   Rename Method,Inline Method,","remove flush-related records from WAL and make locking more granular Comments from many people in HBASE-6466 and HBASE-6980 indicate that flush records in WAL are not useful. If so, they should be removed.",", , "
"   Rename Method,","Online Merge Support executing region merge transaction on Regionserver, similar with split transaction

Process of merging two regions:
a.client sends RPC (dispatch merging regions) to master
b.master moves the regions together (on the same regionserver where the more heavily loaded region resided)
c.master sends RPC (merge regions) to this regionserver
d.Regionserver executes the region merge transaction in the thread pool
e.the above b,c,d run asynchronously

Process of region merge transaction:
a.Construct a new region merge transaction.

b.prepare for the merge transaction, the transaction will be canceled if it is unavailable, 
e.g. two regions don't belong to same table; two regions are not adjacent in a non-compulsory merge; region is closed or has reference

c.execute the transaction as the following:
/**
* Set region as in transition, set it into MERGING state.
*/
SET_MERGING_IN_ZK,
/**
* We created the temporary merge data directory.
*/
CREATED_MERGE_DIR,
/**
* Closed the merging region A.
*/
CLOSED_REGION_A,
/**
* The merging region A has been taken out of the server's online regions list.
*/
OFFLINED_REGION_A,
/**
* Closed the merging region B.
*/
CLOSED_REGION_B,
/**
* The merging region B has been taken out of the server's online regions list.
*/
OFFLINED_REGION_B,
/**
* Started in on creation of the merged region.
*/
STARTED_MERGED_REGION_CREATION,
/**
* Point of no return. If we got here, then transaction is not recoverable
* other than by crashing out the regionserver.
*/
PONR

d.roll back if step c throws exception


Usage:

HBaseAdmin#mergeRegions


See more details from the patch",", "
"   Rename Method,Inline Method,","Cleanup client connection layers This issue originated from a discussion over in HBASE-7442. We currently have a broken abstraction with {{HBaseClient}}, where it is bound to a single {{Configuration}} instance at time of construction, but then reused for all connections to all clusters. This is combined with multiple, overlapping layers of connection caching.

Going through this code, it seems like we have a lot of mismatch between the higher layers and the lower layers, with too much abstraction in between. At the lower layers, most of the {{ClientCache}} stuff seems completely unused. We currently effectively have an {{HBaseClient}} singleton (for {{SecureClient}} as well in 0.92/0.94) in the client code, as I don't see anything that calls the constructor or {{RpcEngine.getProxy()}} versions with a non-default socket factory. So a lot of the code around this seems like built up waste.

The fact that a single Configuration is fixed in the {{HBaseClient}} seems like a broken abstraction as it currently stands. In addition to cluster ID, other configuration parameters (max retries, retry sleep) are fixed at time of construction. The more I look at the code, the more it looks like the {{ClientCache}} and sharing the {{HBaseClient}} instance is an unnecessary complication. Why cache the {{HBaseClient}} instances at all? In {{HConnectionManager}}, we already have a mapping from {{Configuration}} to {{HConnection}}. It seems to me like each {{HConnection(Implementation)}} instance should have it's own {{HBaseClient}} instance, doing away with the {{ClientCache}} mapping. This would keep each {{HBaseClient}} associated with a single cluster/configuration and fix the current breakage from reusing the same {{HBaseClient}} against different clusters.

We need a refactoring of some of the interactions of {{HConnection(Implementation)}}, {{HBaseRPC/RpcEngine}}, and {{HBaseClient}}. Off hand, we might want to expose a separate {{RpcEngine.getClient()}} method that returns a new {{RpcClient}} interface (implemented by {{HBaseClient}}) and move the {{RpcEngine.getProxy()}}/{{stopProxy()}} implementations into the client. So all proxy invocations can go through the same client, without requiring the static client cache. I haven't fully thought this through, so I could be missing other important aspects. But that approach at least seems like a step in the right direction for fixing the client abstractions.",", , "
"   Move Method,Extract Method,","A canary monitoring program specifically for regionserver *Motivation*
This ticket is to provide a canary monitoring tool specifically for HRegionserver, details as follows
1. This tool is required by operation team due to they thought that the canary for each region of a HBase is too many for them, so I implemented this coarse-granular one based on the original o.a.h.h.tool.Canary for them
2. And this tool is implemented by multi-threading, which means the each Get request sent by a thread. the reason I use this way is due to we suffered the region server hung issue by now the root cause is still not clear. so this tool can help operation team to detect hung region server if any.

*example*
1. the tool docs
./bin/hbase org.apache.hadoop.hbase.tool.RegionServerCanary -help
Usage: [opts] [regionServerName 1 [regionServrName 2...]]
regionServerName - FQDN serverName, can use linux command:hostname -f to check your serverName
where [-opts] are:
-help Show this help and exit.
-e Use regionServerName as regular expression
which means the regionServerName is regular expression pattern
-f <B> stop whole program if first error occurs, default is true
-t <N> timeout for a check, default is 600000 (milisecs)
-daemon Continuous check at defined intervals.
-interval <N> Interval between checks (sec)

2. Will send a request to each regionserver in a HBase cluster
./bin/hbase org.apache.hadoop.hbase.tool.RegionServerCanary

3. Will send a request to a regionserver by given name
./bin/hbase org.apache.hadoop.hbase.tool.RegionServerCanary rs1.domainname

4. Will send a request to regionserver(s) by given regular-expression
/opt/trend/circus-opstool/bin/hbase-canary-monitor-each-regionserver.sh -e rs1.domainname.pattern
// another example
./bin/hbase org.apache.hadoop.hbase.tool.RegionServerCanary -e tw-poc-tm-puppet-hdn[0-9]\{1,2\}.client.tw.trendnet.org


5. Will send a request to a regionserver and also set a timeout limit for this test
// query regionserver:rs1.domainname with timeout limit 10sec
// -f false, means that will not exit this program even test failed
./bin/hbase org.apache.hadoop.hbase.tool.RegionServerCanary -f false -t 10000 rs1.domainname
// echo ""1"" if timeout
echo ""$?""

6. Will run as daemon mode, which means it will send request to each regionserver periodically
./bin/hbase org.apache.hadoop.hbase.tool.RegionServerCanary -daemon






","Duplicated Code, Long Method, , , "
"   Rename Method,Extract Method,","Convert all tests that use HBaseTestingUtility.createMultiRegions to HBA.createTable Like I discussed in HBASE-7534, {{HBaseTestingUtility.createMultiRegions}} should disappear and not come back. There's about 25 different places in the code that rely on it that need to be changed the same way I changed TestReplication.

Perfect for someone that wants to get started with HBase dev :)","Duplicated Code, Long Method, , "
"   Pull Up Method,Move Method,Pull Up Attribute,Move Attribute,",[replication] Create an interface for replication peers 0,", , , Duplicated Code, Duplicated Code, "
"   Rename Method,Move Method,Extract Method,",[replication] Create an interface for replication queues 0,"Duplicated Code, Long Method, , , "
"   Rename Method,","Add a costless notifications mechanism from master to regionservers & clients t would be very useful to add a mechanism to distribute some information to the clients and regionservers. Especially It would be useful to know globally (regionservers + clients apps) that some regionservers are dead. This would allow:
- to lower the load on the system, without clients using staled information and going on dead machines
- to make the recovery faster from a client point of view. It's common to use large timeouts on the client side, so the client may need a lot of time before declaring a region server dead and trying another one. If the client receives the information separatly about a region server states, it can take the right decision, and continue/stop to wait accordingly.

We can also send more information, for example instructions like 'slow down' to instruct the client to increase the retries delay and so on.

Technically, the master could send this information. To lower the load on the system, we should:
- have a multicast communication (i.e. the master does not have to connect to all servers by tcp), with once packet every 10 seconds or so.
- receivers should not depend on this: if the information is available great. If not, it should not break anything.
- it should be optional.

So at the end we would have a thread in the master sending a protobuf message about the dead servers on a multicast socket. If the socket is not configured, it does not do anything. On the client side, when we receive an information that a node is dead, we refresh the cache about it.",", "
"   Move Class,Rename Method,","Use the Store interface instead of HStore (coprocessor, compaction, ...) We have a Store interface that is almost never used, coprocessors and compactions are using the HStore.

Replace the HStore with Store to have the ability to create custom Store for testing, instead of injecting stuff in HStore.",", "
"   Move Method,Extract Method,Move Attribute,","clean up compactionrequest and compactselection - part 1 Certain parts of CompactionRequest are unnecessary.
Off-peak hour management is part way in selection, part way in Store and part way in policy.
Needs to be cleaned up in preparation of having CompactionPolicy return CompactionRequest.","Duplicated Code, Long Method, , , , "
"   Rename Method,Move Method,Extract Method,Inline Method,","enable encapsulating compaction policy/compactor/store file manager interaction shennanigans To avoid massive casting and/or deciphering of structures traveling between SFM, compaction policy, and compactor in non-trivial compaction schemes like stripe or level, we need to make interaction between themselves hidden.
Elsewhere, the changes are being made to coprocessor for compactions that will make CompactionRequest a limited-visibility class for users, with coprocessors being able to subclass and return it. -This seems like a viable solution for the problem at hand too. Policy will (optionally) subclass compaction request and return it. Instead of calling something.compact(req), req.compact() will be called (with ""something"" already stored inside req as of now), after which, magic will happen.-
After merging that code I actually see that subclassing compactionrequest in both will break the policy, or require bunch of ugly code in coprocessors (a subclass for every policy, and telling them apart.
","Duplicated Code, Long Method, , , , "
"   Rename Method,","make policy and compactor in default store engine separately pluggable (for things like tier-based, and default policy experiments with permutations) Technically, StoreEngine can be used to achieve any permutations of things, but to make it more convenient to replace compaction policy/compator in standard schemes like tier-based, we can add separate hooks in DefaultStoreEngine (as long as custom ones conform to its default expectations e.g. flat list of sorted files, etc.)",", "
"   Rename Method,","More Table operation in TableHandler for REST interface In the current implementation, only the metadata query of table allowed. It's not convinent to use the REST interface to write a third-party client library. I think the functionality of REST interface should be similar with the hbase shell. So user can create/show/update/delate/enable/disable the table.",", "
"   Rename Class,Rename Method,Move Method,Extract Method,Move Attribute,","Snapshot Manifest file instead of multiple empty files Currently taking a snapshot means creating one empty file for each file in the source table directory, plus copying the .regioninfo file for each region, the table descriptor file and a snapshotInfo file.

during the restore or snapshot verification we traverse the filesystem (fs.listStatus()) to find the snapshot files, and we open the .regioninfo files to get the information.

to avoid hammering the NameNode and having lots of empty files, we can use a manifest file that contains the list of files and information that we need.
To keep the RS parallelism that we have, each RS can write its own manifest.

{code}
message SnapshotDescriptor {
required string name;
optional string table;
optional int64 creationTime;
optional Type type;
optional int32 version;
}

message SnapshotRegionManifest {
optional int32 version;
required RegionInfo regionInfo;
repeated FamilyFiles familyFiles;

message StoreFile {
required string name;
optional Reference reference;
}

message FamilyFiles {
required bytes familyName;
repeated StoreFile storeFiles;
}
}
{code}

{code}
/hbase/.snapshot/<snapshotName>
/hbase/.snapshot/<snapshotName>/snapshotInfo
/hbase/.snapshot/<snapshotName>/<tableName>
/hbase/.snapshot/<snapshotName>/<tableName>/tableInfo
/hbase/.snapshot/<snapshotName>/<tableName>/regionManifest(.n)
{code}
","Duplicated Code, Long Method, , , , "
"   Extract Interface,Extract Method,",refactor default compactor to make its parts easier to reuse Refactor default compactor to make its parts easier to reuse. To make eventual HBASE-7967 patch smaller.,"Duplicated Code, Long Method, , Large Class, "
"   Rename Method,Extract Method,","row keys should be array of bytes I have heard from several people that row keys in HBase should be less restricted than hadoop.io.Text.

What do you think?

At the very least, a row key has to be a WritableComparable. This would lead to the most general case being either hadoop.io.BytesWritable or hbase.io.ImmutableBytesWritable. The primary difference between these two classes is that hadoop.io.BytesWritable by default allocates 100 bytes and if you do not pay attention to the length, (BytesWritable.getSize()), converting a String to a BytesWritable and vice versa can become problematic. 

hbase.io.ImmutableBytesWritable, in contrast only allocates as many bytes as you pass in and then does not allow the size to be changed.

If we were to change from Text to a non-text key, my preference would be for ImmutableBytesWritable, because it has a fixed size once set, and operations like get, etc do not have to something like System.arrayCopy where you specify the number of bytes to copy.

Your comments, questions are welcome on this issue. If we receive enough feedback that Text is too restrictive, we are willing to change it, but we need to hear what would be the most useful thing to change it to as well.

","Duplicated Code, Long Method, , "
"   Rename Method,Pull Up Method,Extract Method,","HBCK support for table locks Table locks have been introduced in HBASE-7305, HBASE-7546, and others (see the design doc at HBASE-7305). 

This issue adds support in HBCK to report and fix possible conditions about table locks. Namely, if due to some bug, the table lock remains not-released, then HBCK should be able to report it, and remove the lock, so that normal table operations will continue. 

Also see the comments in HBASE-7977.","Duplicated Code, Long Method, , Duplicated Code, "
"   Move Method,Extract Method,","Improve LoadTest extensibility This patch rolls up related changes:

- Allow classes extending TestMiniClusterLoadSequential to override how reader and writer threads are set up, including extending the reader and writers themselves.

- Make it so classes extending MultiThreadedWriter can cleanly override how Puts are constructed.

- Provide an option for passing in a custom table descriptor to HBaseTestingUtility#createPreSplitLoadTestTable.

- HBaseTestingUtility#waitUntilAllRegionsAssigned does not check if the region it is counting belongs to the table created by the test and will not return if it accidentally counts ""too many"" regions, for example the regions of the ACL table when security is enabled. (Some class based on TestMiniClusterLoadSequential may want to enable security.)","Duplicated Code, Long Method, , , "
"   Pull Up Method,Extract Method,","MapReduce over snapshot files The idea is to add an InputFormat, which can run the mapreduce job over snapshot files directly bypassing hbase server layer. The IF is similar in usage to TableInputFormat, taking a Scan object from the user, but instead of running from an online table, it runs from a table snapshot. We do one split per region in the snapshot, and open an HRegion inside the RecordReader. A RegionScanner is used internally for doing the scan without any HRegionServer bits. 

Users have been asking and searching for ways to run MR jobs by reading directly from hfiles, so this allows new use cases if reading from stale data is ok:
- Take snapshots periodically, and run MR jobs only on snapshots.
- Export snapshots to remote hdfs cluster, run the MR jobs at that cluster without HBase cluster.
- (Future use case) Combine snapshot data with online hbase data: Scan from yesterday's snapshot, but read today's data from online hbase cluster. 
","Duplicated Code, Long Method, , Duplicated Code, "
"   Extract Method,Move Attribute,",Port  HBASE-6874  Implement prefetching for scanners from 0.89-fb This should help scanner performance. We should have it in trunk.,"Duplicated Code, Long Method, , , "
"   Move Method,Extract Method,Inline Method,Move Attribute,","[replication] Remove ReplicationZookeeper class Once all of the logic in ReplicationZookeeper has been refactored into three interfaces (for status, queues, and peers), there is almost no logic in ReplicationZookeeper. It can now be removed and classes that call it should be refactored to call the state interfaces directly.","Duplicated Code, Long Method, , , , , "
"   Rename Method,Extract Method,Inline Method,","Allow parallel snapshot of different tables currently only one snapshot at the time is allowed.
Like for the restore, we should allow taking snapshot of different tables in parallel.","Duplicated Code, Long Method, , , "
"   Rename Method,Extract Method,","Server-side, remove convertion from pb type to client type before we call method In the regionserver, when the rpc receives a call, the call is described using protobufs. Before we make the server-side invocation, we do a transform on the pb param objects to make a native pojo -- e.g. from a pb Puts into an hbase o.a.h.h.client.Put -- and only then do we make the call against the server.

On the way out, similar, before putting the result on the wire, we will do a convertion from o.a.h.h.client.Result into pb Result.

This issue is about our first INVESTIGATING if it is possible to do away w/ this marshalling/unmarshalling serverside especially given the pb objects themselves are rich in accessor and getters, etc. If it is possible to do w/ pbs alone serverside, then we should go ahead and rip out all the serverside convertions.","Duplicated Code, Long Method, , "
"   Rename Method,Move Method,Extract Method,","Implement tags and the internals of how a tag should look like The intent of this JIRA comes from HBASE-7897.
This would help us to decide on the structure and format of how the tags should look like.","Duplicated Code, Long Method, , , "
"   Rename Method,Inline Method,","Store last flushed sequence id for each store of region for Distributed Log Replay HBASE-7006 stores last flushed sequence id of the region in zookeeper.

To prevent deleted data from appearing again, we should store last flushed sequence id for each store of region in zookeeper.

See discussion here:
https://issues.apache.org/jira/browse/HBASE-7006?focusedCommentId=13660428&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-13660428",", , "
"   Rename Class,Rename Method,Extract Method,Inline Method,","Region assigments scan table directory making them slow for huge tables On a table with 130k regions it takes about 3 seconds for a region server to open a region once it has been assigned.

Watching the threads for a region server running 0.94.5 that is opening many such regions shows the thread opening the reigon in code like this:
{noformat}
""PRI IPC Server handler 4 on 60020"" daemon prio=10 tid=0x00002aaac07e9000 nid=0x6566 runnable [0x000000004c46d000]
java.lang.Thread.State: RUNNABLE
at java.lang.String.indexOf(String.java:1521)
at java.net.URI$Parser.scan(URI.java:2912)
at java.net.URI$Parser.parse(URI.java:3004)
at java.net.URI.<init>(URI.java:736)
at org.apache.hadoop.fs.Path.initialize(Path.java:145)
at org.apache.hadoop.fs.Path.<init>(Path.java:126)
at org.apache.hadoop.fs.Path.<init>(Path.java:50)
at org.apache.hadoop.hdfs.protocol.HdfsFileStatus.getFullPath(HdfsFileStatus.java:215)
at org.apache.hadoop.hdfs.DistributedFileSystem.makeQualified(DistributedFileSystem.java:252)
at org.apache.hadoop.hdfs.DistributedFileSystem.listStatus(DistributedFileSystem.java:311)
at org.apache.hadoop.fs.FilterFileSystem.listStatus(FilterFileSystem.java:159)
at org.apache.hadoop.fs.FileSystem.listStatus(FileSystem.java:842)
at org.apache.hadoop.fs.FileSystem.listStatus(FileSystem.java:867)
at org.apache.hadoop.hbase.util.FSUtils.listStatus(FSUtils.java:1168)
at org.apache.hadoop.hbase.util.FSTableDescriptors.getTableInfoPath(FSTableDescriptors.java:269)
at org.apache.hadoop.hbase.util.FSTableDescriptors.getTableInfoPath(FSTableDescriptors.java:255)
at org.apache.hadoop.hbase.util.FSTableDescriptors.getTableInfoModtime(FSTableDescriptors.java:368)
at org.apache.hadoop.hbase.util.FSTableDescriptors.get(FSTableDescriptors.java:155)
at org.apache.hadoop.hbase.util.FSTableDescriptors.get(FSTableDescriptors.java:126)
at org.apache.hadoop.hbase.regionserver.HRegionServer.openRegion(HRegionServer.java:2834)
at org.apache.hadoop.hbase.regionserver.HRegionServer.openRegion(HRegionServer.java:2807)
at sun.reflect.GeneratedMethodAccessor64.invoke(Unknown Source)
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
at java.lang.reflect.Method.invoke(Method.java:597)
at org.apache.hadoop.hbase.ipc.WritableRpcEngine$Server.call(WritableRpcEngine.java:320)
at org.apache.hadoop.hbase.ipc.HBaseServer$Handler.run(HBaseServer.java:1426)
{noformat}

To open the region, the region server first loads the latest HTableDescriptor. Since HBASE-4553 HTableDescriptor's are stored in the file system at ""/hbase/<tableDir>/.tableinfo.<sequenceNum>"". The file with the largest sequenceNum is the current descriptor. This is done so that the current descirptor is updated atomically. However, since the filename is not known in advance FSTableDescriptors it has to do a FileSystem.listStatus operation which has to list all files in the directory to find it. The directory also contains all the region directories, so in our case it has to load 130k FileStatus objects. Even using a globStatus matching function still transfers all the objects to the client before performing the pattern matching. Furthermore HDFS uses a default of transferring 1000 directory entries in each RPC call, so it requires 130 roundtrips to the namenode to fetch all the directory entries.

Consequently, to reassign all the regions of a table (or a constant fraction thereof) requires time proportional to the square of the number of regions.

In our case, if a region server fails with 200 such regions, it takes 10+ minutes for them all to be reassigned, after the zk expiration and log splitting.
","Duplicated Code, Long Method, , , "
"   Rename Class,Move Method,Move Attribute,","Pluggable RpcScheduler Today, the RPC scheduling mechanism is pretty simple: it execute requests in isolated thread-pools based on their priority. In the current implementation, all normal get/put requests are using the same pool. We'd like to add some per-user or per-region level isolation, so that a misbehaved user/region will not saturate the thread-pool and cause DoS to others easily. The idea is similar to FairScheduler in MR. The current scheduling code is not standalone and is mixed with others (Connection#processRequest). The issue is the first step to extract it to an interface, so that people are free to write and test their own implementations.

This patch doesn't make it completely pluggable yet, as some parameters are pass from constructor. This is because HMaster and HRegionServer both use RpcServer and they have different thread-pool size config. Let me know if you have a solution to this.",", , , "
"   Rename Method,","protobuf message style Google's protobuf style guide (https://developers.google.com/protocol-buffers/docs/style) lays out the convention that message field names should be underscore_separated and services should be MixedCase. The .proto's in trunk do not follow this style; instead they follow Java naming conventions. The protobuf compiler will automatically change the style of names to match the language it is compiling for, but it is unable to do so if the protobuf style is not used. As a result, using the HBase proto files from languages with different naming conventions than Java is a little bit more painful.

Since a core feature of moving to protobufs is opening the door to wire compatible implementations in other languages, I think this may want to be addressed. This patch changes the naming convention in the protos. The resulting .java files that the protobuf compiler puts out are functionally the same (with the same correct Java naming style).",", "
"   Rename Class,Rename Method,","Addendum to pluggable RpcScheduler This patch fixes the review comments from [~stack] and a small fix:
- Make RpcScheduler fully pluggable. One can write his/her own implementation and add it to classpath and specify it by config ""hbase.region.server.rpc.scheduler.factory.class"".
- Add unit tests and fix that RpcScheduler.stop is not called (discovered by tests)
",", "
"   Rename Method,","Add a view/edit tool for favored node mappings for regions Add a tool that one can run offline to view the favored node mappings for regions, and also fix the mappings if needed. Such a tool exists in the 0.89-fb branch. Will port it over to trunk/0.95.",", "
"   Rename Method,Extract Method,","ReplicationLogCleaner slow at large scale At a large scale the ReplicationLogCleaner fails to clean up .oldlogs as fast as the cluster is producing them. For each old HLog file that has been replicated and should be deleted the ReplicationLogCleaner checks every replication queue in ZooKeeper before removing it. This means that as a cluster scales up the number of files to delete scales as well as the time to delete each file so the cleanup chore scales quadratically. In our case it reached the point where the oldlogs were growing faster than they were being cleaned up.

We're now running with a patch that allows the ReplicationLogCleaner to refresh its list of files in the replication queues from ZooKeeper just once for each batch of files the CleanerChore wants to evaluate.

I'd propose updating FileCleanerDelegate to take a List<FileStatus> rather than a single one at a time. This would allow file cleaners that check an external resource for references such as ZooKeeper (for ReplicationLogCleaner) or HDFS (for SnapshotLogCleaner which looks like it may also have similar trouble at scale) to load those references once per batch rather than for every log.","Duplicated Code, Long Method, , "
"   Rename Method,Extract Method,",Thrift getRow does not support specifying columns Thrift interface has a getRow function but it does not support asking for specific columns.,"Duplicated Code, Long Method, , "
"   Rename Method,Extract Method,","Make custom distributed barrier procedure pluggable  
Currently if one wants to implement a custom distributed barrier procedure (e.g., distributed log roll or distributed table flush), the HBase core code needs to be modified in order for the procedure to work.

Looking into the snapshot code (especially on region server side), most of the code to enable the procedure are generic life-cycle management (i.e., init, start, stop). We can make this part pluggable.

Here is the proposal. Following the coprocessor example, we define two properties:

{code}
hbase.procedure.regionserver.classes
hbase.procedure.master.classes
{code}

The values for both are comma delimited list of classes. On region server side, the classes implements the following interface:

{code}
public interface RegionServerProcedureManager {
public void initialize(RegionServerServices rss) throws KeeperException;
public void start();
public void stop(boolean force) throws IOException;
public String getProcedureName();
}
{code}

While on Master side, the classes implement the interface:

{code}
public interface MasterProcedureManager {
public void initialize(MasterServices master) throws KeeperException, IOException, UnsupportedOperationException;
public void stop(String why);
public String getProcedureName();
public void execProcedure(ProcedureDescription desc) throws IOException;
IOException;
}
{code}

Where the ProcedureDescription is defined as

{code}
message ProcedureDescription {
required string name = 1;
required string instance = 2;
optional int64 creationTime = 3 [default = 0];
message Property {
required string tag = 1;
optional string value = 2;
}
repeated Property props = 4;
}
{code}

A generic API can be defined on HMaster to trigger a procedure:

{code}
public boolean execProcedure(ProcedureDescription desc) throws IOException;
{code}

_SnapshotManager_ and _RegionServerSnapshotManager_ are special examples of _MasterProcedureManager_ and _RegionServerProcedureManager_. They will be automatically included (users don't need to specify them in the conf file).","Duplicated Code, Long Method, , "
"   Rename Class,Move And Rename Class,Rename Method,Move Method,Move Attribute,","Cleanup inconsistencies in protobuf message and rpc names This is a minor cleanup of some inconsistencies in names of protobuf messages and rpcs. I ran into these while dynamically working with hbase-protocol, where it is nice to have message and rpc names as consistent as possible. Specifically, most of these changes are to have the rpc name match the message names plus [Request, Response]. Changes:

Message renames:
AccessControlProtos.UserPermissions[Request, Response] -> GetUserPermissions[Request, Response]
AggregateProtos.AggregateArgument -> AggregateRequest
AuthenticationProtos.Token[Request, Response] -> GetAuthenticationToken[Request, Response]
AuthenticationProtos.Token[Request, Response] -> GetAuthenticationToken[Request, Response]
MultiRowMutation.MultiMutate[Request, Response] -> MutateRows[Request, Response]
RowProcessorProtos.RowProcessor[Request, Response] -> ProcessRowRequest[Request, Response]
SecureBulkLoadProtos.DelegationTokenProto -> DelegationToken

RPC renames:
MasterAdminProtos.RunCatalogScan -> CatalogScan
MasterAdminProtos.Snapshot -> TakeSnapshot
MasterAdminProtos.GetCompletedSnapshots -> ListCompletedSnapshots
RowProcessorProtos.Process -> RowProcessorProtos.ProcessRow

Outer classname changes:
MultiRowMutation -> MultiRowMutationProtos
Tracing -> TracingProtos

File renames:
hbase.proto -> HBase.proto",", , , "
"   Rename Class,Extract Superclass,Rename Method,Extract Method,","Multi row get does not return any results even if any one of the rows specified in the query is missing and improve exception handling When a client tries to retrieve multiple rows using REST API, even if one of the specified rows does not exist, 404 is returned. The correct way should be to return the result for the found rows and ignore the non-existent ones. Also, in the current code base, only some exceptions are handled, if some exception like Access denied or no column found exception is throws by the APIs, 500 ( server not found) is returned to user. This is leaves the end user wondering what caused the rest command to fail.","Duplicated Code, Long Method, , Duplicated Code, Large Class, "
"   Rename Method,Extract Method,Inline Method,","More temporary test files are being left in /tmp/hbase-<user> There is currently about 160MB of stuff being left behind in after a unit test run in our jenkins setup.

Table names left behind indicate that it is due to these classes.

TestCompaction
Either TestForceCacheImporatntBlocks or TestScannerSelectionUingTTL or TestScannerSelectionUsingKeyRange
TestHRegion

","Duplicated Code, Long Method, , , "
"   Move Method,Extract Method,","Alow more than one log splitter per RS IIRC, this is an idea that came from the lads at Xiaomi.

I have a small cluster of 6 RSs and one went down. It had a few WALs. I see this in logs:

2013-10-09 05:47:27,890 DEBUG org.apache.hadoop.hbase.master.SplitLogManager: total tasks = 25 unassigned = 21

WAL splitting is held up for want of slots out on the cluster to split WALs.

We need to be careful we don't overwhelm the foreground regionservers but more splitters should help get all back online faster.","Duplicated Code, Long Method, , , "
"   Move Class,Move Method,Extract Method,Move Attribute,","HBase native metrics and metric collection for coprocessors It would help provide better visibility into what coprocessors are doing if we provided a way for coprocessors to export their own metrics. The general idea is to:

* extend access to the HBase ""metrics bus"" down into the coprocessor environments
* coprocessors can then register and increment custom metrics
* coprocessor metrics are then reported along with all others through normal mechanisms","Duplicated Code, Long Method, , , , "
